Plant_Name,Scientific_Name,Plant_Type,Life_Cycle,Soil_Type,Sunlight_Needs,Water_Needs,Use,Poisonous,Preferred_Zone,Soil_PH,Size,Spacing
Carolina Jessamine,Gelsemium sempervirens,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,7-10,6.0-7.0,10-20 ft,8-12 in
Carpathian Walnut,Juglans regia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,6-9,6.0-7.5,40-70 ft,40-50 ft
Carrot,Daucus carota,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,6-12 in,6-8 in
Cassava,Manihot esculenta,Tree,Perennial,Loam,Full Sun,Low,Edible,No,10-12,5.5-7.0,3-10 ft,24-36 in
Cast Iron Plant,Aspidistra elatior,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-8,5.5-6.8,8-12 in,6-8 in
Castor Bean Plant,Ricinus communis,Herb,Annual,Loam,Full Sun,Medium,Ornamental,Yes,9-11,6.0-7.5,6-10 ft,3-6 ft
Castor Oil Plant,Ricinus communis,Herb,Annual,Loam,Full Sun,Medium,Ornamental,Yes,9-11,6.0-7.5,6-10 ft,3-6 ft
Catalpa,Catalpa speciosa,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-8,5.5-7.0,40-70 ft,20-30 ft
Catnip,Nepeta cataria,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,4-10,6.0-7.0,2-4 ft,12-18 in
Cattail,Typha latifolia,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,1-2 ft,4-6 in
Cauliflower,Brassica oleracea var. botrytis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,6.0-7.5,1-2 ft,6-8 in
Cayenne Pepper,Capsicum annuum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,8-10,6.0-7.0,2-4 ft,18-24 in
Cedar,Cedrus spp.,Vegetable,Annual,Sandy,Full Sun,High,Edible,No,4-11,6.0-7.0,1-2 ft,36-48 in
Celandine,Chelidonium majus,Herb,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-8,6.0-7.0,1-2 ft,12-18 in
Celandine Poppy,Stylophorum diphyllum,Vegetable,Annual,Sandy,Full Sun,High,Edible,No,4-11,6.0-6.8,1-2 ft,24-36 in
Celeriac,Apium graveolens var. rapaceum,Vegetable,Annual,Sandy,Full Sun,High,Edible,No,4-11,6.0-6.8,1-2 ft,24-36 in
Celery,Apium graveolens,Vegetable,Annual,Sandy,Full Sun,Medium,Edible,No,6-11,5.5-6.5,1-2 ft,6-8 in
Celery Seed,Apium graveolens,Herb,Biennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.0,1-2 ft,8-12 in
Celtuce,Lactuca sativa var. asparagina,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.0,1-2 ft,8-10 in
Cereus,Cereus spp.,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,1-2 ft,2-4 in
Chamomile,Matricaria chamomilla,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-6.8,2-3 ft,4-6 in
Chamomile (German),Matricaria chamomilla,Herb,Annual,Loam,Full Sun,Medium,Edible,No,2-9,5.6-7.5,1-2 ft,8-12 in
Chard,Beta vulgaris subsp. cicla,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-6.8,2-4 ft,6-8 in
Chayote,Sechium edule,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,1-2 ft,2-4 in
Cherimoya,Annona cherimola,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.5-7.6,20-30 ft,15-20 ft
Cherry,Prunus avium,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,1-2 ft,2-4 in
Cherry Laurel,Prunus laurocerasus,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,6-9,6.0-7.5,10-20 ft,3-8 ft
Chervil,Anthriscus cerefolium,Herb,Annual,Loam,Partial Shade,Medium,Edible,No,3-8,6.0-7.0,10-24 in,6-8 in
Chestnut,Castanea dentata,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,5.5-6.5,50-80 ft,40-50 ft
Chestnut Oak,Quercus montana,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,4-8,5.5-7.5,60-80 ft,30-50 ft
Chickpea,Cicer arietinum,Vegetable,Annual,Sandy,Full Sun,Low,Edible,No,4-10,6.0-7.0,1-2 ft,3-6 in
Chicory,Cichorium intybus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-10,6.0-8.0,1-2 ft,1-2 in
Chicory (Witloof),Cichorium intybus var. foliosum,Vegetable,Biennial,Loam,Full Sun,Medium,Edible,No,3-10,5.5-7.5,1-2 ft,6-8 in
Chilean Hazelnut,Gevuina avellana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,9-11,5.0-7.0,15-50 ft,15-25 ft
Chili Pepper,Capsicum annuum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,8-10,6.0-7.0,1-4 ft,18-24 in
Chinaberry,Melia azedarach,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,7-10,6.0-7.5,20-40 ft,15-20 ft
Chinese Artichoke,Stachys affinis,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.5,1-2 ft,12-18 in
Chinese Broccoli,Brassica oleracea var. alboglabra,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,2-11,6.0-7.5,12-24 in,6-8 in
Chinese Cabbage,Brassica rapa subsp. pekinensis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,2-6 ft,2-4 in
Chinese Chestnut,Castanea mollissima,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,5.5-6.5,40-70 ft,30-40 ft
Chinese Evergreen,Aglaonema commutatum,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,2-6 ft,2-4 in
Chinese Fan Palm,Livistona chinensis,Vegetable,Annual,Loam,Full Sun,High,Edible,No,3-9,6.0-6.8,1-2 ft,36-60 in
Chinese Mustard,Brassica juncea,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,2-11,6.0-7.5,1-2 ft,6-8 in
Chinese Water Chestnut,Eleocharis dulcis,Aquatic,Perennial,Clay,Full Sun,High,Edible,No,8-11,6.0-7.5,1-2 ft,6-12 in
Chinese Yam,Dioscorea polystachya,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,6-11,5.5-7.5,10-15 ft,12-18 in
Chinkapin Oak,Quercus muehlenbergii,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-7,6.0-7.5,40-70 ft,30-50 ft
Chives,Allium schoenoprasum,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,5.5-6.8,12-24 in,36-48 in
Cholla,Cylindropuntia spp.,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,5.5-7.0,12-24 in,36-48 in
Christmas Cactus,Schlumbergera bridgesii,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,5.5-6.8,12-24 in,36-48 in
Christmas Rose,Helleborus niger,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-8,6.0-7.0,1-2 ft,12-18 in
Chufa,Cyperus esculentus,Grass,Perennial,Loam,Full Sun,Medium,Edible,No,8-11,5.5-7.5,1-3 ft,12-18 in
Chufa (Tiger Nut),Cyperus esculentus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,8-11,5.0-7.5,1-2 ft,6-8 in
Cilantro,Coriandrum sativum,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,2-11,6.0-7.5,6-24 in,6-12 in
Cilantro (Coriander),Coriandrum sativum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,2-11,6.2-6.8,12-24 in,6-8 in
Cinnamon,Cinnamomum verum,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-12,4.5-5.5,20-40 ft,10-15 ft
Clarkia,Clarkia amoena,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,2-10,6.0-7.0,1-2 ft,6-12 in
Clematis,Clematis spp.,Flower,Annual,Loam,Partial Shade,High,Ornamental,No,10-11,6.0-6.5,6-24 in,8-12 in
Climbing Hydrangea,Hydrangea anomala subsp. petiolaris,Vine,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-8,5.0-7.5,30-60 ft,5-10 ft
Climbing Lily,Gloriosa superba,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,10-11,6.0-7.0,3-6 ft,12-18 in
Cloudberry,Rubus chamaemorus,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,9-11,6.0-7.5,12-24 in,8-12 in
Clove,Syzygium aromaticum,Tree,Perennial,Loam,Full Sun,High,Edible,No,10-12,5.0-6.5,25-50 ft,15-20 ft
Cobra Lily,Darlingtonia californica,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,7-10,5.0-6.0,18-36 in,12-18 in
Coleus,Plectranthus scutellarioides,Flower,Annual,Loam,Full Sun,Low,Ornamental,No,2-11,6.0-7.0,2-4 ft,12-18 in
Collard Greens,Brassica oleracea var. viridis,Flower,Annual,Sandy,Full Sun,Low,Edible,No,2-11,6.0-7.5,1-2 ft,8-12 in
Columbine,Aquilegia canadensis,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,6-10,6.0-6.5,6-9 in,6-8 in
Comfrey,Symphytum officinale,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,7-10,6.2-7.0,1-3 ft,6-12 in
Common Milkweed,Asclepias syriaca,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-8,6.0-7.0,2-4 ft,12-18 in
Common Persimmon,Diospyros virginiana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,35-60 ft,25-30 ft
Common Reed,Phragmites australis,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,4-10,6.0-8.5,6-15 ft,2-4 ft
Common Witchhazel,Hamamelis virginiana,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-8,5.0-7.0,10-20 ft,6-10 ft
Coneflower,Echinacea purpurea,Flower,Perennial,Sandy,Full Sun,Low,Ornamental,No,4-9,6.0-7.0,1-3 ft,12-18 in
Coral Bells,Heuchera americana,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-9,6.0-7.0,2-4 ft,12-18 in
Coral Tree,Erythrina crista-galli,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,9-11,6.0-7.5,10-30 ft,10-20 ft
Coralberry,Symphoricarpos orbiculatus,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,2-8,6.0-7.5,3-6 ft,3-6 ft
Coreopsis,Coreopsis tinctoria,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,3-8,6.0-7.0,1-3 ft,12-18 in
Coriander,Coriandrum sativum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,3-11,6.0-7.0,1-2 ft,6-12 in
Corn Plant,Dracaena fragrans,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,3-9,6.0-7.0,1-3 ft,12-18 in
Coryphantha ramillosa,Coryphantha ramillosa,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,N/A,10-12,6.0-8.0,6-12 in,6-12 in
Cosmos,Cosmos bipinnatus,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-9,6.0-7.0,1-3 ft,12-18 in
Costmary,Tanacetum balsamita,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.0,2-3 ft,12-18 in
Cottonwood,Populus deltoides,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-9,5.0-7.5,60-80 ft,30-50 ft
Crabapple,Malus spp.,Flower,Biennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-10,5.5-6.5,2-5 ft,12-18 in
Cress,Lepidium sativum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.0,1-2 ft,6-12 in
Crinum Lily,Crinum americanum,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,7-11,6.0-7.0,2-3 ft,1-2 ft
Crocus,Crocus spp.,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-8,6.0-7.0,3-6 in,3-4 in
Crosne,Stachys affinis,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.5,12-18 in,8-12 in
Croton,Codiaeum variegatum,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,3-7,6.0-7.0,3-6 ft,12-18 in
Crown Imperial,Fritillaria imperialis,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,5-8,6.0-7.0,2-4 ft,8-12 in
Crown of Thorns,Euphorbia milii,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-8,5.5-7.5,2-5 ft,12-18 in
Crown-of-Thorns,Euphorbia milii,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,Yes,9-11,6.0-7.5,2-3 ft,12-24 in
Cuban Oregano,Plectranthus amboinicus,Herb,Perennial,Loam,Partial Shade,Medium,Edible,No,10-11,6.0-7.5,1-3 ft,12-18 in
Cubeb Pepper,Piper cubeba,Vegetable,Perennial,Loam,Partial Shade,High,Edible,No,10-12,5.5-7.0,6-15 ft,3-5 ft
Cucumber,Cucumis sativus,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,8-10,6.0-7.5,1-4 ft,12-18 in
Culantro,Eryngium foetidum,Herb,Perennial,Loam,Partial Shade,High,Edible,No,10-11,6.0-7.5,1-2 ft,6-12 in
Culver’s Root,Veronicastrum virginicum,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-9,6.0-7.0,2-6 ft,12-18 in
Cumberland Rosemary,Conradina verticillata,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,6-8,6.0-7.5,1-2 ft,12-18 in
Cumin,Cuminum cyminum,Herb,Annual,Loam,Full Sun,Low,Edible,No,8-11,6.8-8.3,12-24 in,6-8 in
Cupuacu,Theobroma grandiflorum,Tree,Perennial,Loam,Partial Shade,High,Edible,No,10-11,5.0-7.0,20-40 ft,10-20 ft
Currant,Ribes rubrum,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-8,6.0-8.0,2-4 ft,12-18 in
Custard Apple,Annona reticulata,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.5-7.6,20-30 ft,15-20 ft
Cypress,Cupressus spp.,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-10,6.0-7.0,2-3 ft,12-18 in
Cypress Vine,Ipomoea quamoclit,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,7-11,6.0-8.0,3-6 ft,12-18 in
Daffodil,Narcissus pseudonarcissus,Flower,Annual,Sandy,Full Sun,Low,Ornamental,No,3-10,6.0-7.0,1-3 ft,12-18 in
Dahlia,Dahlia pinnata,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,5-9,6.0-8.0,2-4 ft,12-18 in
Daikon,Raphanus sativus var. longipinnatus,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-9,6.0-7.0,2-4 ft,12-18 in
Dandelion,Taraxacum officinale,Flower,Perennial,Sandy,Full Sun,Low,Ornamental,No,3-9,5.5-7.0,2-4 ft,12-24 in
Daphne,Daphne mezereum,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-7,6.5-7.5,3-6 ft,3-6 ft
Date Palm,Phoenix dactylifera,Tree,Perennial,Loam,Full Sun,Low,Edible,No,9-11,8.0-11.0,60-80 ft,20-30 ft
Daylily,Hemerocallis spp.,Flower,Perennial,Loam,Full Sun,Low,Ornamental,No,4-8,6.0-7.5,2-3 ft,12-18 in
Deadly Nightshade,Atropa belladonna,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,6-9,6.0-7.5,2-4 ft,18-24 in
Delphinium,Delphinium spp.,Flower,Perennial,Loam,Full Sun,Low,Ornamental,No,3-9,5.5-7.0,1-3 ft,12-24 in
Devil’s Ivy,Epipremnum aureum,Flower,Perennial,Sandy,Full Sun,Low,Ornamental,No,4-9,6.0-8.0,3-5 ft,24-36 in
Dieffenbachia,Dieffenbachia seguine,Flower,Perennial,Sandy,Full Sun,Low,Ornamental,No,3-10,6.0-7.0,1-2 ft,12-18 in
Dill,Anethum graveolens,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-9,6.0-7.0,1-2 ft,12-18 in
Dogbane,Apocynum cannabinum,Herb,Perennial,Loam,Full Sun,Medium,Edible,Yes,3-9,6.0-7.5,2-5 ft,12-18 in
Dogwood,Cornus florida,Flower,Perennial,Loam,Full Sun,High,Ornamental,No,5-9,6.5-7.0,3-8 ft,24-36 in
Doll’s Eyes,Actaea pachypoda,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,3-8,5.0-7.0,1-3 ft,12-18 in
Donkey Ear,Kalanchoe gastonis-bonnieri,Succulent,Perennial,Sandy,Full Sun,Low,Ornamental,Yes,10-11,6.1-7.5,1-2 ft,12-18 in
Downy Serviceberry,Amelanchier arborea,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.0-7.0,15-25 ft,10-15 ft
Dracaena,Dracaena spp.,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.0-7.0,2-6 ft,2-4 ft
Dragon Tree,Dracaena draco,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,2-9,5.5-6.5,6-12 ft,4-8 ft
Duckweed,Lemna minor,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-8,6.0-7.0,6-12 ft,4-8 ft
Dudleya,Dudleya spp.,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,5.5-7.0,15-25 ft,8-10 ft
Dumb Cane,Dieffenbachia seguine,Tree,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-9,6.0-7.0,30-60 ft,15-25 ft
Dusty Miller,Jacobaea maritima,Flower,Annual,Loam,Full Sun,Low,Ornamental,No,8-10,5.5-7.5,6-12 in,8-12 in
Dutchman’s Breeches,Dicentra cucullaria,Tree,Perennial,Loam,Full Sun,Low,Ornamental,Yes,3-8,6.0-7.0,40-70 ft,20-30 ft
Dutchman's Pipe,Aristolochia macrophylla,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,No,3-8,6.0-7.0,60-80 ft,20-30 ft
Dwarf Bear-poppy,Arctomecon humilis,Herb,Perennial,Sandy,Full Sun,Low,Ornamental,N/A,8-9,7.0-8.5,1-2 ft,6-12 in
Dwarf Fothergilla,Fothergilla gardenii,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,5-8,5.0-6.5,3-5 ft,3-5 ft
Dwarf Lake Iris,Iris lacustris,Herb,Perennial,Sandy,Partial Shade,Medium,Ornamental,N/A,3-6,6.0-7.5,6-12 in,6-12 in
Dwarf Wedgemussel,Alasmidonta heterodon,Herb,Perennial,Clay,Full Sun,High,Ornamental,N/A,4-8,5.5-7.0,1-2 ft,12-18 in
Earthnut Pea,Lathyrus tuberosus,Vine,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.5,2-4 ft,12-18 in
Easter Cactus,Hatiora gaertneri,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,2-9,6.0-7.5,60-80 ft,30-40 ft
Easter Lily Cactus,Echinopsis oxygona,Tree,Perennial,Loam,Full Sun,High,Ornamental,No,4-9,6.0-8.0,60-80 ft,30-40 ft
Eastern Hemlock,Tsuga canadensis,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,No,3-7,4.5-6.5,40-70 ft,20-30 ft
Eastern Redbud,Cercis canadensis,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,2-7,5.0-6.5,50-80 ft,20-30 ft
Eastern White Pine,Pinus strobus,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-8,4.5-6.0,50-80 ft,20-40 ft
Echeveria,Echeveria spp.,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.5-8.0,20-30 ft,15-20 ft
Echinacea,Echinacea purpurea,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,No,5-9,5.5-7.0,15-30 ft,15-20 ft
Edamame,Glycine max,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,1-2 ft,6-8 in
Edible Canna,Canna indica,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,7-11,5.5-7.5,2-6 ft,12-24 in
Eggplant,Solanum melongena,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-8,6.0-7.5,15-25 ft,10-20 ft
Elderberry,Sambucus canadensis,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,3-7,6.0-7.0,50-80 ft,25-40 ft
Elderberry (Red),Sambucus racemosa,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,3-8,5.5-7.5,6-12 ft,6-8 ft
Elephant Bush,Portulacaria afra,Succulent,Perennial,Sandy,Full Sun,Low,Ornamental,No,9-11,6.0-7.5,2-4 ft,12-24 in
Elephant Foot Yam,Amorphophallus paeoniifolius,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,10-12,5.5-7.0,3-5 ft,18-24 in
Elephant Garlic,Allium ampeloprasum var. ampeloprasum,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,5-10,6.0-7.5,2-4 ft,12-18 in
Elodea,Elodea canadensis,Aquatic,Perennial,Aquatic,Full Sun,High,Ornamental,No,4-11,6.0-8.0,1-3 ft,1-2 ft
Endive,Cichorium endivia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,5.5-7.0,30-60 ft,15-25 ft
English Ivy,Hedera helix,Vine,Perennial,Loam,Partial Shade,Low,Ornamental,Yes,4-9,6.0-7.5,10-50 ft,6-12 in
English Walnut,Juglans regia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,6-9,6.0-7.5,40-70 ft,40-50 ft
English Yew,Taxus baccata,Conifer,Perennial,Loam,Full Sun,Low,Ornamental,Yes,5-9,6.0-7.5,10-60 ft,3-6 ft
Epazote,Dysphania ambrosioides,Herb,Annual,Loam,Full Sun,Medium,Edible,No,6-11,5.5-8.0,2-4 ft,12-18 in
Escarole,Cichorium endivia var. latifolium,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.0,10-20 ft,10-20 ft
Etonia Rosemary,Conradina etonia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,8-10,6.0-7.5,1-2 ft,12-18 in
Euphorbia obesa,Euphorbia obesa,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,35-60 ft,20-25 ft
European Chestnut,Castanea sativa,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,5.5-6.5,60-80 ft,40-50 ft
Evening Primrose,Oenothera biennis,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,7-10,6.0-6.5,10-30 ft,10-20 ft
Fairy Castle Cactus,Acanthocereus tetragonus,Fruit,Perennial,Sandy,Full Sun,Low,Edible,No,7-10,5.5-7.0,10-15 ft,8-10 ft
False Hellebore,Veratrum viride,Herb,Perennial,Loam,Full Sun,High,Ornamental,Yes,4-8,5.5-7.5,2-8 ft,12-24 in
False Indigo,Baptisia australis,Fruit,Perennial,Sandy,Full Sun,Low,Edible,No,8-10,6.0-8.5,20-30 ft,15-20 ft
False Solomon’s Seal,Smilacina racemosa,Herb,Perennial,Loam,Partial Shade,Medium,Edible,No,3-9,5.5-7.0,1-2 ft,6-12 in
Fanwort,Cabomba caroliniana,Aquatic,Perennial,Aquatic,Full Sun,High,Ornamental,No,6-11,6.0-7.5,6-10 ft,1-2 ft
Fava Bean,Vicia faba,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,7-9,5.5-7.0,20-30 ft,10-15 ft
Feather Reed Grass,Calamagrostis x acutiflora,Grass,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,5.5-7.5,2-5 ft,18-24 in
Feijoa (Pineapple Guava),Acca sellowiana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,8-10,5.5-7.0,10-20 ft,10-15 ft
Fennel,Foeniculum vulgare,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,9-11,6.5-7.5,10-30 ft,8-12 ft
Fenugreek,Trigonella foenum-graecum,Herb,Annual,Loam,Full Sun,Low,Edible,No,8-11,6.0-7.0,12-24 in,6-8 in
Ferns (various),,Fern,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-9,5.0-7.0,1-5 ft,12-18 in
Feverfew,Tanacetum parthenium,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,5.5-7.0,10-20 ft,8-10 ft
Fiddle Leaf Fig,Ficus lyrata,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-6.8,3-5 ft,3-4 ft
Fiddlehead Fern,Matteuccia struthiopteris,Vegetable,Perennial,Loam,Partial Shade,Medium,Edible,Yes,3-7,6.0-7.0,2-3 ft,12-18 in
Fig,Ficus carica,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,2-7,4.5-5.5,6-12 in,12-18 in
Fingerroot,Boesenbergia rotunda,Herb,Perennial,Loam,Partial Shade,Medium,Edible,No,9-11,5.5-7.0,1-2 ft,12-18 in
Fir,Abies spp.,Fruit,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-8,5.5-6.5,6-12 ft,6-10 ft
Firethorn,Pyracantha coccinea,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,6-9,6.0-7.5,6-18 ft,3-8 ft
Fishhook Barrel Cactus,Ferocactus wislizeni,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,6-10,6.0-6.5,4-8 ft,3-5 ft
Floating Heart,Nymphoides peltata,Aquatic,Perennial,Aquatic,Full Sun,High,Ornamental,No,6-11,6.0-8.0,1-2 ft,1-2 ft
Florence Fennel,Foeniculum vulgare,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,6-10,6.0-7.0,2-3 ft,6-12 in
Florida Torreya,Torreya taxifolia,Tree,Perennial,Loam,Partial Shade,Medium,Timber,N/A,8-9,6.0-7.5,30-60 ft,10-15 ft
Florida Ziziphus,Ziziphus celata,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,8-10,6.0-7.5,6-12 ft,6-12 ft
Flowering Dogwood,Cornus florida,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,No,5-9,5.5-6.5,15-30 ft,20-30 ft
Fool’s Parsley,Aethusa cynapium,Herb,Annual,Loam,Full Sun,Medium,Ornamental,Yes,5-9,6.0-7.5,1-2 ft,6-8 in
Forget-me-not,Myosotis sylvatica,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,6-10,6.0-6.5,4-8 ft,3-5 ft
Forsythia,Forsythia × intermedia,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,6-10,6.0-6.5,4-8 ft,3-5 ft
Fountain Grass,Pennisetum alopecuroides,Grass,Perennial,Loam,Full Sun,Medium,Ornamental,No,6-9,5.5-7.5,2-4 ft,18-24 in
Four O'Clock,Mirabilis jalapa,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,5.5-7.0,4-7 ft,3-6 ft
Four O’Clock,Mirabilis jalapa,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,7-10,6.0-7.5,1-3 ft,12-18 in
Foxglove,Digitalis purpurea,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,5.5-7.0,4-7 ft,3-6 ft
